artistName	trackName	y	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	uri	track_href	analysis_url	duration_ms	time_signature	year	popularity	explicit
Alicia Keys	ocean eyes - Recorded Live at Jungle City Studios	0	0.353	0.148	7	-13.108	1	0.0421	0.934	0.0	0.112	0.297	88.203	audio_features	7rLokcIMP9p8fl0iROdVfC	spotify:track:7rLokcIMP9p8fl0iROdVfC	https://api.spotify.com/v1/tracks/7rLokcIMP9p8fl0iROdVfC	https://api.spotify.com/v1/audio-analysis/7rLokcIMP9p8fl0iROdVfC	184548	5	2019	69	0
All Time Low	Sleeping In	0	0.656	0.955	7	-3.842	1	0.0462	0.00865	0.0	0.342	0.558	105.031	audio_features	402Ecma69MRxeQK6ml6YbI	spotify:track:402Ecma69MRxeQK6ml6YbI	https://api.spotify.com/v1/tracks/402Ecma69MRxeQK6ml6YbI	https://api.spotify.com/v1/audio-analysis/402Ecma69MRxeQK6ml6YbI	180599	4	2020	57	0
Allman Brothers Band	Little Martha	0	0.487	0.2	11	-21.64	1	0.0448	0.973	0.935	0.109	0.582	92.061	audio_features	2WPLFvAldG0GG6Ad3Xa0TO	spotify:track:2WPLFvAldG0GG6Ad3Xa0TO	https://api.spotify.com/v1/tracks/2WPLFvAldG0GG6Ad3Xa0TO	https://api.spotify.com/v1/audio-analysis/2WPLFvAldG0GG6Ad3Xa0TO	127746	4	1972	50	0
Allman Brothers Band	Melissa	0	0.533	0.362	4	-14.791	1	0.0244	0.478	0.245	0.0857	0.45	82.993	audio_features	30St98Bok3jJmXdkkHVPQe	spotify:track:30St98Bok3jJmXdkkHVPQe	https://api.spotify.com/v1/tracks/30St98Bok3jJmXdkkHVPQe	https://api.spotify.com/v1/audio-analysis/30St98Bok3jJmXdkkHVPQe	235224	4	1972	64	0
Allman Brothers Band	Midnight Rider	0	0.585	0.532	7	-9.673	1	0.0268	0.209	0.00797	0.227	0.68	94.461	audio_features	1hHGUdFaiJHw9hVZGJWYO2	spotify:track:1hHGUdFaiJHw9hVZGJWYO2	https://api.spotify.com/v1/tracks/1hHGUdFaiJHw9hVZGJWYO2	https://api.spotify.com/v1/audio-analysis/1hHGUdFaiJHw9hVZGJWYO2	180067	4	1970	71	0
Allman Brothers Band	Ramblin' Man	0	0.349	0.692	1	-11.691	1	0.0338	0.462	0.00266	0.197	0.952	179.396	audio_features	5cfYurP1XKldMBtvBBJiTs	spotify:track:5cfYurP1XKldMBtvBBJiTs	https://api.spotify.com/v1/tracks/5cfYurP1XKldMBtvBBJiTs	https://api.spotify.com/v1/audio-analysis/5cfYurP1XKldMBtvBBJiTs	288507	4	1989	71	0
Andrae Crouch	Let The Church Say Amen - Radio Edit	0	0.355	0.536	1	-7.202	1	0.0461	0.298	0.0	0.145	0.265	147.878	audio_features	66mi3OKkrYHZkV9T62Ytyy	spotify:track:66mi3OKkrYHZkV9T62Ytyy	https://api.spotify.com/v1/tracks/66mi3OKkrYHZkV9T62Ytyy	https://api.spotify.com/v1/audio-analysis/66mi3OKkrYHZkV9T62Ytyy	294813	4	2011	49	0
Andrew McMahon in the Wilderness	Cecilia And The Satellite	0	0.381	0.844	5	-7.123	1	0.144	0.0131	0.0	0.318	0.239	194.0	audio_features	1MSM3Fo2fvnwVqMcz8Jhjq	spotify:track:1MSM3Fo2fvnwVqMcz8Jhjq	https://api.spotify.com/v1/tracks/1MSM3Fo2fvnwVqMcz8Jhjq	https://api.spotify.com/v1/audio-analysis/1MSM3Fo2fvnwVqMcz8Jhjq	223880	4	2014	63	0
Andy Grammer	Keep Your Head Up	0	0.674	0.778	0	-5.367	1	0.0376	0.0469	0.0	0.145	0.816	90.01	audio_features	4Jz4bjXeiF2SXVj9P4YfY5	spotify:track:4Jz4bjXeiF2SXVj9P4YfY5	https://api.spotify.com/v1/tracks/4Jz4bjXeiF2SXVj9P4YfY5	https://api.spotify.com/v1/audio-analysis/4Jz4bjXeiF2SXVj9P4YfY5	189933	4	2011	72	0
Animals As Leaders	The Woven Web	0	0.549	0.935	6	-5.692	0	0.0518	0.00656	0.775	0.0641	0.341	118.016	audio_features	4j6ascTxs21rACPdPpqFQN	spotify:track:4j6ascTxs21rACPdPpqFQN	https://api.spotify.com/v1/tracks/4j6ascTxs21rACPdPpqFQN	https://api.spotify.com/v1/audio-analysis/4j6ascTxs21rACPdPpqFQN	247780	4	2014	49	0
